Date,Interest_Rate
09/02/1984,51.67
16/02/1984,50.74
23/02/1984,48.77
01/03/1984,46.8
08/03/1984,46.2
15/03/1984,45.94
22/03/1984,46.53
29/03/1984,45.55
05/04/1984,46.08
12/04/1984,46.89
18/04/1984,47.43
26/04/1984,47.31
03/05/1984,47.34
10/05/1984,48.22
17/05/1984,51.69
24/05/1984,52.32
31/05/1984,52.41
07/06/1984,51.59
14/06/1984,51.06
21/06/1984,51.01
28/06/1984,50.97
05/07/1984,51.07
12/07/1984,51.39
19/07/1984,51.2
26/07/1984,50.95
02/08/1984,50.69
09/08/1984,50.76
16/08/1984,50.65
23/08/1984,51.21
30/08/1984,50.32
06/09/1984,50.92
13/09/1984,50.61
20/09/1984,49.7
27/09/1984,48.45
04/10/1984,48.61
11/10/1984,47.94
18/10/1984,47.38
25/10/1984,47.93
01/11/1984,48.02
08/11/1984,48.68
15/11/1984,47.95
22/11/1984,47.73
29/11/1984,47.3
06/12/1984,47.93
13/12/1984,48.86
20/12/1984,52.14
27/12/1984,48.36
03/01/1985,48.74
10/01/1985,48.57
17/01/1985,48.58
24/01/1985,47.9
31/01/1985,47.88
07/02/1985,49.25
14/02/1985,48.6
21/02/1985,50.39
28/02/1985,50.41
07/03/1985,52.19
14/03/1985,60.56
20/03/1985,58.93
28/03/1985,58.64
03/04/1985,64.4
11/04/1985,56.74
18/04/1985,58.27
25/04/1985,57.78
02/05/1985,59.17
09/05/1985,57.48
16/05/1985,56.54
23/05/1985,62.93
30/05/1985,63.65
06/06/1985,68.32
13/06/1985,65.76
20/06/1985,62.36
27/06/1985,62.23
04/07/1985,67.29
11/07/1985,68.43
18/07/1985,76.21
25/07/1985,71.69
01/08/1985,75.32
08/08/1985,76.72
15/08/1985,74.34
22/08/1985,72.33
29/08/1985,70.84
05/09/1985,70.57
12/09/1985,69.52
19/09/1985,69.0
26/09/1985,68.83
03/10/1985,66.8
10/10/1985,66.3
17/10/1985,66.3
24/10/1985,66.3
31/10/1985,67.31
07/11/1985,68.5
14/11/1985,68.5
21/11/1985,68.5
28/11/1985,70.91
05/12/1985,73.3
11/12/1985,75.3
19/12/1985,75.3
26/12/1985,75.3
02/01/1986,75.3
09/01/1986,75.3
16/01/1986,75.3
23/01/1986,75.3
30/01/1986,75.3
06/02/1986,75.3
13/02/1986,75.3
20/02/1986,77.31
27/02/1986,78.01
06/03/1986,79.0
13/03/1986,79.5
20/03/1986,79.5
26/03/1986,79.51
03/04/1986,80.26
10/04/1986,81.01
17/04/1986,81.01
24/04/1986,81.01
30/04/1986,81.0
08/05/1986,81.01
15/05/1986,81.01
22/05/1986,81.01
29/05/1986,81.01
05/06/1986,81.01
12/06/1986,87.01
19/06/1986,87.01
26/06/1986,88.5
03/07/1986,89.5
10/07/1986,91.5
17/07/1986,
24/07/1986,
31/07/1986,
07/08/1986,
14/08/1986,
21/08/1986,
28/08/1986,
04/09/1986,
11/09/1986,
18/09/1986,
25/09/1986,
02/10/1986,108.59
09/10/1986,108.34
16/10/1986,108.16
23/10/1986,108.34
30/10/1986,106.97
06/11/1986,105.82
13/11/1986,103.81
19/11/1986,103.77
27/11/1986,103.19
04/12/1986,103.76
11/12/1986,105.87
18/12/1986,106.06
24/12/1986,106.23
02/01/1987,106.23
08/01/1987,104.62
15/01/1987,104.92
22/01/1987,104.64
29/01/1987,104.37
04/02/1987,105.38
12/02/1987,105.01
19/02/1987,104.83
26/02/1987,104.67
05/03/1987,103.43
12/03/1987,101.92
19/03/1987,101.24
26/03/1987,100.66
02/04/1987,100.14
09/04/1987,100.2
15/04/1987,99.39
23/04/1987,99.01
30/04/1987,99.01
07/05/1987,98.45
14/05/1987,98.49
21/05/1987,98.49
28/05/1987,98.31
04/06/1987,98.38
11/06/1987,98.4
18/06/1987,98.4
25/06/1987,98.28
02/07/1987,97.95
09/07/1987,97.84
16/07/1987,97.26
23/07/1987,96.86
30/07/1987,96.75
06/08/1987,95.96
13/08/1987,95.86
20/08/1987,96.0
27/08/1987,95.78
03/09/1987,95.73
10/09/1987,95.1
17/09/1987,95.1
24/09/1987,95.78
01/10/1987,95.95
08/10/1987,95.73
15/10/1987,95.61
22/10/1987,95.92
29/10/1987,99.1
05/11/1987,99.9
12/11/1987,106.05
19/11/1987,113.44
26/11/1987,123.88
03/12/1987,123.88
10/12/1987,129.99
17/12/1987,137.94
24/12/1987,137.09
30/12/1987,137.38
07/01/1988,159.78
14/01/1988,159.78
21/01/1988,157.05
28/01/1988,153.91
04/02/1988,154.88
11/02/1988,154.81
18/02/1988,153.96
25/02/1988,152.04
03/03/1988,99.02
10/03/1988,87.53
17/03/1988,71.03
24/03/1988,71.14
30/03/1988,60.13
07/04/1988,55.54
14/04/1988,54.6
21/04/1988,53.07
28/04/1988,52.05
04/05/1988,51.97
12/05/1988,48.75
19/05/1988,44.5
26/05/1988,39.74
02/06/1988,35.66
09/06/1988,32.47
16/06/1988,32.45
23/06/1988,32.45
30/06/1988,32.45
07/07/1988,32.45
14/07/1988,32.45
21/07/1988,32.45
28/07/1988,32.45
04/08/1988,32.45
11/08/1988,32.45
18/08/1988,32.45
25/08/1988,32.45
31/08/1988,32.45
08/09/1988,32.45
15/09/1988,32.45
22/09/1988,32.45
29/09/1988,32.45
06/10/1988,32.45
13/10/1988,32.45
20/10/1988,32.45
27/10/1988,
03/11/1988,
10/11/1988,
17/11/1988,
24/11/1988,
30/11/1988,
08/12/1988,
15/12/1988,
22/12/1988,51.47
29/12/1988,51.48
05/01/1989,51.35
12/01/1989,51.17
19/01/1989,50.48
26/01/1989,49.63
02/02/1989,49.75
09/02/1989,49.59
16/02/1989,49.0
23/02/1989,49.24
02/03/1989,49.61
09/03/1989,49.66
16/03/1989,48.28
22/03/1989,47.89
30/03/1989,48.6
06/04/1989,51.01
13/04/1989,50.81
20/04/1989,51.69
27/04/1989,52.68
04/05/1989,52.9
11/05/1989,53.31
18/05/1989,54.11
25/05/1989,54.99
01/06/1989,54.99
08/06/1989,54.99
15/06/1989,
22/06/1989,
29/06/1989,
06/07/1989,
13/07/1989,
20/07/1989,
27/07/1989,36.42
03/08/1989,37.34
10/08/1989,37.32
17/08/1989,36.32
24/08/1989,35.67
31/08/1989,35.49
07/09/1989,34.66
14/09/1989,35.98
21/09/1989,35.98
28/09/1989,36.3
05/10/1989,38.85
11/10/1989,39.26
19/10/1989,39.47
26/10/1989,39.14
03/11/1989,39.21
09/11/1989,39.23
16/11/1989,39.47
23/11/1989,40.85
30/11/1989,41.59
07/12/1989,41.54
14/12/1989,40.62
21/12/1989,39.3
28/12/1989,39.3
04/01/1990,40.0
11/01/1990,40.0
18/01/1990,40.0
25/01/1990,41.0
01/02/1990,42.99
08/02/1990,42.64
15/02/1990,
22/02/1990,43.47
01/03/1990,44.1
08/03/1990,45.07
15/03/1990,45.74
22/03/1990,45.49
29/03/1990,45.4
05/04/1990,44.98
11/04/1990,44.9
19/04/1990,44.1
26/04/1990,43.3
03/05/1990,43.06
10/05/1990,37.84
17/05/1990,37.17
24/05/1990,37.46
31/05/1990,34.49
07/06/1990,33.17
14/06/1990,33.37
21/06/1990,33.38
28/06/1990,33.18
05/07/1990,32.61
12/07/1990,31.6
19/07/1990,31.77
26/07/1990,31.05
02/08/1990,31.12
09/08/1990,30.27
16/08/1990,30.1
23/08/1990,30.4
30/08/1990,30.81
06/09/1990,31.5
13/09/1990,31.45
20/09/1990,31.45
27/09/1990,31.75
04/10/1990,31.59
11/10/1990,31.0
18/10/1990,30.29
25/10/1990,29.3
31/10/1990,29.5
08/11/1990,28.25
15/11/1990,25.11
22/11/1990,26.29
29/11/1990,25.5
06/12/1990,26.38
13/12/1990,26.25
20/12/1990,25.74
27/12/1990,24.99
03/01/1991,23.96
10/01/1991,23.56
17/01/1991,23.56
24/01/1991,24.65
31/01/1991,23.94
07/02/1991,24.35
14/02/1991,23.5
21/02/1991,22.72
28/02/1991,22.74
07/03/1991,22.74
14/03/1991,21.8
20/03/1991,23.0
27/03/1991,22.49
01/04/1991,21.77
11/04/1991,21.34
18/04/1991,20.85
25/04/1991,21.75
02/05/1991,22.15
09/05/1991,21.3
16/05/1991,20.28
23/05/1991,18.8
30/05/1991,18.22
06/06/1991,17.61
13/06/1991,18.75
20/06/1991,18.39
27/06/1991,19.37
04/07/1991,19.11
11/07/1991,18.74
18/07/1991,18.35
25/07/1991,18.35
01/08/1991,18.0
08/08/1991,17.41
15/08/1991,17.63
22/08/1991,17.63
29/08/1991,17.73
05/09/1991,17.98
12/09/1991,18.62
19/09/1991,19.32
26/09/1991,18.96
03/10/1991,19.3
10/10/1991,18.85
17/10/1991,18.44
24/10/1991,17.88
31/10/1991,17.45
07/11/1991,16.98
14/11/1991,16.49
21/11/1991,17.23
28/11/1991,18.26
05/12/1991,17.27
11/12/1991,17.25
19/12/1991,17.8
26/12/1991,16.98
02/01/1992,15.99
09/01/1992,15.71
16/01/1992,15.9
23/01/1992,15.77
30/01/1992,15.84
06/02/1992,16.19
13/02/1992,15.39
20/02/1992,14.94
27/02/1992,14.0
05/03/1992,12.94
12/03/1992,10.85
19/03/1992,11.25
26/03/1992,11.89
02/04/1992,11.39
09/04/1992,11.66
15/04/1992,12.24
23/04/1992,11.74
30/04/1992,12.29
07/05/1992,12.4
14/05/1992,13.17
21/05/1992,13.54
28/05/1992,13.3
04/06/1992,13.3
11/06/1992,14.0
18/06/1992,15.04
25/06/1992,17.0
02/07/1992,17.0
09/07/1992,16.99
16/07/1992,17.0
23/07/1992,16.99
30/07/1992,16.98
06/08/1992,18.0
13/08/1992,17.23
20/08/1992,17.25
27/08/1992,16.66
03/09/1992,17.5
10/09/1992,19.0
17/09/1992,19.0
24/09/1992,19.0
01/10/1992,19.0
08/10/1992,19.5
15/10/1992,19.57
22/10/1992,19.99
29/10/1992,19.4
05/11/1992,18.75
12/11/1992,18.3
19/11/1992,17.97
26/11/1992,17.91
03/12/1992,17.28
10/12/1992,17.0
17/12/1992,17.0
24/12/1992,17.87
30/12/1992,18.49
07/01/1993,17.99
14/01/1993,18.5
21/01/1993,18.31
28/01/1993,18.41
04/02/1993,18.51
11/02/1993,18.74
18/02/1993,18.97
25/02/1993,18.79
04/03/1993,18.78
11/03/1993,17.98
18/03/1993,17.7
25/03/1993,17.46
01/04/1993,16.62
07/04/1993,16.65
15/04/1993,16.88
22/04/1993,17.0
29/04/1993,16.55
06/05/1993,16.37
13/05/1993,16.37
20/05/1993,16.34
27/05/1993,16.26
03/06/1993,16.19
10/06/1993,16.02
17/06/1993,15.9
24/06/1993,15.69
01/07/1993,15.11
08/07/1993,15.08
15/07/1993,14.85
22/07/1993,14.47
29/07/1993,14.14
05/08/1993,14.19
12/08/1993,14.32
19/08/1993,14.04
26/08/1993,13.86
02/09/1993,14.09
09/09/1993,13.86
15/09/1993,13.7
23/09/1993,14.22
30/09/1993,14.69
07/10/1993,14.09
14/10/1993,13.93
21/10/1993,13.08
28/10/1993,13.11
04/11/1993,13.19
11/11/1993,15.94
18/11/1993,13.14
25/11/1993,12.6
02/12/1993,12.89
09/12/1993,12.43
16/12/1993,11.52
23/12/1993,10.98
30/12/1993,10.73
06/01/1994,10.66
13/01/1994,10.7
20/01/1994,10.75
27/01/1994,10.89
03/02/1994,10.54
10/02/1994,10.19
17/02/1994,9.34
24/02/1994,9.13
03/03/1994,9.5
10/03/1994,9.71
17/03/1994,10.26
24/03/1994,10.12
30/03/1994,11.97
07/04/1994,14.45
14/04/1994,14.98
21/04/1994,17.81
28/04/1994,16.45
04/05/1994,17.79
12/05/1994,
19/05/1994,17.77
26/05/1994,16.77
02/06/1994,16.54
09/06/1994,16.69
16/06/1994,17.0
23/06/1994,17.0
30/06/1994,16.49
07/07/1994,16.94
14/07/1994,17.4
21/07/1994,17.99
28/07/1994,17.19
04/08/1994,15.93
11/08/1994,15.23
18/08/1994,14.05
25/08/1994,13.82
01/09/1994,14.1
08/09/1994,14.72
15/09/1994,14.89
22/09/1994,13.96
29/09/1994,13.1
06/10/1994,13.67
13/10/1994,13.74
20/10/1994,14.14
27/10/1994,14.35
03/11/1994,14.5
10/11/1994,14.18
17/11/1994,14.5
24/11/1994,14.76
30/11/1994,14.76
08/12/1994,14.58
15/12/1994,14.89
22/12/1994,17.0
29/12/1994,31.99
05/01/1995,34.99
12/01/1995,44.94
19/01/1995,39.0
26/01/1995,38.0
02/02/1995,33.49
09/02/1995,35.1
16/02/1995,40.99
23/02/1995,57.0
02/03/1995,51.23
09/03/1995,59.0
16/03/1995,85.0
23/03/1995,82.76
30/03/1995,77.99
06/04/1995,74.0
12/04/1995,73.0
20/04/1995,73.0
27/04/1995,66.0
04/05/1995,62.0
11/05/1995,53.99
18/05/1995,52.89
25/05/1995,49.95
01/06/1995,52.05
08/06/1995,51.01
15/06/1995,47.14
22/06/1995,44.85
29/06/1995,41.48
06/07/1995,41.48
13/07/1995,40.75
20/07/1995,38.65
27/07/1995,38.0
03/08/1995,36.81
10/08/1995,34.85
17/08/1995,35.65
24/08/1995,35.4
31/08/1995,36.71
07/09/1995,34.75
14/09/1995,34.83
21/09/1995,33.29
28/09/1995,34.45
05/10/1995,38.31
11/10/1995,40.52
19/10/1995,42.47
26/10/1995,43.5
01/11/1995,44.42
09/11/1995,51.99
16/11/1995,65.03
23/11/1995,55.6
30/11/1995,53.9
07/12/1995,48.45
14/12/1995,49.73
21/12/1995,47.48
28/12/1995,46.39
04/01/1996,44.47
11/01/1996,41.74
18/01/1996,41.71
25/01/1996,38.37
01/02/1996,38.39
08/02/1996,39.08
15/02/1996,41.32
22/02/1996,41.98
29/02/1996,42.54
07/03/1996,44.49
14/03/1996,45.78
20/03/1996,41.99
28/03/1996,39.92
03/04/1996,39.01
11/04/1996,39.63
18/04/1996,35.71
25/04/1996,34.25
02/05/1996,34.72
09/05/1996,33.57
16/05/1996,30.21
23/05/1996,28.74
30/05/1996,28.09
06/06/1996,29.17
13/06/1996,30.61
20/06/1996,29.2
27/06/1996,29.58
04/07/1996,30.81
11/07/1996,31.61
18/07/1996,33.4
25/07/1996,30.82
01/08/1996,31.7
08/08/1996,29.0
15/08/1996,29.43
22/08/1996,27.59
29/08/1996,28.07
05/09/1996,29.37
12/09/1996,27.73
19/09/1996,27.3
26/09/1996,26.75
03/10/1996,25.63
10/10/1996,25.11
17/10/1996,28.75
24/10/1996,28.79
31/10/1996,30.1
07/11/1996,28.9
14/11/1996,29.68
21/11/1996,29.46
28/11/1996,27.7
05/12/1996,26.06
11/12/1996,26.57
19/12/1996,26.85
26/12/1996,26.55
02/01/1997,25.99
09/01/1997,24.93
16/01/1997,24.43
23/01/1997,24.16
30/01/1997,23.5
06/02/1997,23.21
13/02/1997,22.14
20/02/1997,21.29
27/02/1997,21.18
06/03/1997,22.81
13/03/1997,22.86
20/03/1997,22.23
26/03/1997,21.38
03/04/1997,21.9
10/04/1997,22.98
17/04/1997,22.97
24/04/1997,21.93
30/04/1997,22.08
08/05/1997,20.49
15/05/1997,20.79
22/05/1997,20.31
29/05/1997,20.78
05/06/1997,21.31
12/06/1997,21.78
19/06/1997,21.24
26/06/1997,21.26
03/07/1997,19.64
10/07/1997,18.95
17/07/1997,19.75
24/07/1997,19.67
31/07/1997,19.0
07/08/1997,19.18
14/08/1997,19.63
21/08/1997,20.34
28/08/1997,21.43
04/09/1997,20.72
11/09/1997,20.92
18/09/1997,21.48
25/09/1997,18.92
02/10/1997,18.53
09/10/1997,18.64
16/10/1997,19.12
23/10/1997,18.84
30/10/1997,24.4
06/11/1997,21.65
13/11/1997,22.62
19/11/1997,21.96
27/11/1997,21.79
04/12/1997,19.5
11/12/1997,20.17
18/12/1997,19.75
24/12/1997,20.19
31/12/1997,19.79
08/01/1998,18.97
15/01/1998,19.88
22/01/1998,19.68
29/01/1998,18.93
04/02/1998,18.98
12/02/1998,19.37
19/02/1998,19.57
26/02/1998,20.58
05/03/1998,19.85
12/03/1998,20.06
19/03/1998,22.53
26/03/1998,20.6
02/04/1998,19.93
08/04/1998,20.08
16/04/1998,19.39
23/04/1998,18.81
30/04/1998,19.13
07/05/1998,18.53
14/05/1998,18.16
21/05/1998,18.8
28/05/1998,19.9
04/06/1998,20.11
11/06/1998,19.85
18/06/1998,21.88
25/06/1998,22.11
02/07/1998,23.17
09/07/1998,22.11
16/07/1998,20.95
23/07/1998,20.94
30/07/1998,21.95
06/08/1998,22.63
13/08/1998,24.25
20/08/1998,25.03
27/08/1998,28.97
03/09/1998,
10/09/1998,40.61
17/09/1998,46.4
24/09/1998,38.68
01/10/1998,36.19
08/10/1998,41.0
15/10/1998,39.62
22/10/1998,35.59
29/10/1998,35.25
05/11/1998,34.67
12/11/1998,34.13
19/11/1998,33.97
26/11/1998,34.44
03/12/1998,37.35
10/12/1998,35.33
17/12/1998,34.41
24/12/1998,32.88
31/12/1998,31.8
07/01/1999,29.29
14/01/1999,33.18
21/01/1999,33.81
28/01/1999,32.81
04/02/1999,30.36
11/02/1999,29.74
18/02/1999,27.7
